risk_history_id,customer_id,credit_score_band,credit_score,risk_segment,income_band,employment_status,effective_start_date,effective_end_date,is_current
2439,2022,No Score,,High,60K-90K,Employed,2023-01-01,2024-12-31,False
2440,2022,Poor,579,Medium,60K-90K,Employed,2025-01-01,2099-12-31,True
2441,2023,Good,708,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2442,2024,Good,716,Low,125K-200K,Student,2023-01-01,2099-12-31,True
2443,2025,Fair,,Low,60K-90K,Self-employed,2023-01-01,2024-12-31,False
2444,2025,Very Good,778,Medium,60K-90K,Self-employed,2025-01-01,2099-12-31,True
2445,2026,Very Good,762,Medium,60K-90K,Student,2023-01-01,2099-12-31,True
2446,2027,Excellent,800,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2447,2028,Poor,563,High,<40K,Retired,2023-01-01,2099-12-31,True
2448,2029,Excellent,787,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2449,2030,Very Good,765,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
2450,2031,Excellent,794,Medium,125K-200K,Retired,2023-01-01,2099-12-31,True
2451,2032,Fair,,New/Thin File,40K-60K,Student,2023-01-01,2024-12-31,False
2452,2032,Fair,629,Low,40K-60K,Student,2025-01-01,2099-12-31,True
2453,2033,Very Good,756,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2454,2034,Good,720,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2455,2035,Very Good,766,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2456,2036,Good,710,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2457,2037,Good,715,Low,200K+,Employed,2023-01-01,2099-12-31,True
2458,2038,Fair,605,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2459,2039,Good,667,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2460,2040,No Score,,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2461,2041,Excellent,802,Low,<40K,Employed,2023-01-01,2099-12-31,True
2462,2042,Fair,648,Low,90K-125K,Unemployed,2023-01-01,2099-12-31,True
2463,2043,Good,685,Low,<40K,Employed,2023-01-01,2099-12-31,True
2464,2044,Fair,614,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2465,2045,No Score,,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2466,2046,Fair,616,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2467,2047,Very Good,768,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2468,2048,Very Good,733,Medium,<40K,Retired,2023-01-01,2099-12-31,True
2469,2049,Good,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
2470,2049,Poor,544,Medium,40K-60K,Employed,2025-01-01,2099-12-31,True
2471,2050,Very Good,756,Low,60K-90K,Unemployed,2023-01-01,2099-12-31,True
2472,2051,Fair,616,High,125K-200K,Retired,2023-01-01,2099-12-31,True
2473,2052,Good,682,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2474,2053,Fair,,Medium,<40K,Employed,2023-01-01,2024-12-31,False
2475,2053,Good,714,High,<40K,Employed,2025-01-01,2099-12-31,True
2476,2054,Very Good,768,Low,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2477,2055,Very Good,767,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2478,2056,Fair,611,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2479,2057,Good,716,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2480,2058,Good,,High,90K-125K,Student,2023-01-01,2024-12-31,False
2481,2058,Very Good,776,Low,90K-125K,Student,2025-01-01,2099-12-31,True
2482,2059,Good,683,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2483,2060,Very Good,764,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2484,2061,Good,701,Low,<40K,Employed,2023-01-01,2099-12-31,True
2485,2062,Good,704,Low,<40K,Employed,2023-01-01,2099-12-31,True
2486,2063,Excellent,841,Low,90K-125K,Retired,2023-01-01,2099-12-31,True
2487,2064,Excellent,781,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2488,2065,No Score,,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2489,2066,Excellent,,High,90K-125K,Self-employed,2023-01-01,2024-12-31,False
2490,2066,Good,681,Medium,90K-125K,Self-employed,2025-01-01,2099-12-31,True
2491,2067,Very Good,730,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2492,2068,Poor,529,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2493,2069,Good,,High,<40K,Employed,2023-01-01,2024-12-31,False
2494,2069,Fair,657,Medium,<40K,Employed,2025-01-01,2099-12-31,True
2495,2070,Very Good,751,Medium,40K-60K,Retired,2023-01-01,2099-12-31,True
2496,2071,No Score,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
2497,2071,Excellent,823,Low,60K-90K,Employed,2025-01-01,2099-12-31,True
2498,2072,Fair,625,High,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2499,2073,Good,,Medium,<40K,Unemployed,2023-01-01,2024-12-31,False
2500,2073,Poor,571,High,<40K,Unemployed,2025-01-01,2099-12-31,True
2501,2074,No Score,,Low,<40K,Self-employed,2023-01-01,2099-12-31,True
2502,2075,Good,676,Medium,40K-60K,Self-employed,2023-01-01,2099-12-31,True
2503,2076,Good,661,Low,40K-60K,Unemployed,2023-01-01,2099-12-31,True
2504,2077,Fair,605,High,60K-90K,Student,2023-01-01,2099-12-31,True
2505,2078,Fair,,High,40K-60K,Student,2023-01-01,2024-12-31,False
2506,2078,No Score,,Low,40K-60K,Student,2025-01-01,2099-12-31,True
2507,2079,Very Good,730,High,<40K,Employed,2023-01-01,2099-12-31,True
2508,2080,Poor,537,Medium,40K-60K,Student,2023-01-01,2099-12-31,True
2509,2081,Very Good,779,Low,60K-90K,Self-employed,2023-01-01,2099-12-31,True
2510,2082,Good,673,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
2511,2083,Very Good,736,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2512,2084,No Score,,Medium,200K+,Employed,2023-01-01,2099-12-31,True
2513,2085,Excellent,823,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2514,2086,Fair,632,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2515,2087,Very Good,772,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2516,2088,Excellent,828,Low,40K-60K,Student,2023-01-01,2099-12-31,True
2517,2089,Poor,549,High,<40K,Employed,2023-01-01,2099-12-31,True
2518,2090,No Score,,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2519,2091,Poor,554,High,125K-200K,Employed,2023-01-01,2099-12-31,True
2520,2092,Good,678,Medium,200K+,Employed,2023-01-01,2099-12-31,True
2521,2093,Poor,523,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2522,2094,Fair,,High,<40K,Employed,2023-01-01,2024-12-31,False
2523,2094,Fair,646,High,<40K,Employed,2025-01-01,2099-12-31,True
2524,2095,Good,672,Low,<40K,Employed,2023-01-01,2099-12-31,True
2525,2096,Very Good,769,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2526,2097,Good,687,Medium,200K+,Employed,2023-01-01,2099-12-31,True
2527,2098,Good,697,Medium,40K-60K,Unemployed,2023-01-01,2099-12-31,True
2528,2099,No Score,,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2529,2100,Excellent,845,Low,<40K,Retired,2023-01-01,2099-12-31,True
2530,2101,Fair,626,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2531,2102,Fair,617,Low,60K-90K,Self-employed,2023-01-01,2099-12-31,True
2532,2103,Excellent,,Low,60K-90K,Employed,2023-01-01,2024-12-31,False
2533,2103,Very Good,738,New/Thin File,60K-90K,Employed,2025-01-01,2099-12-31,True
2534,2104,Good,708,Low,<40K,Employed,2023-01-01,2099-12-31,True
2535,2105,Fair,614,Medium,125K-200K,Self-employed,2023-01-01,2099-12-31,True
2536,2106,Good,672,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2537,2107,Good,681,High,<40K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2538,2108,Good,701,New/Thin File,<40K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2539,2109,Very Good,745,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
2540,2110,Good,678,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2541,2111,Excellent,806,Low,<40K,Employed,2023-01-01,2099-12-31,True
2542,2112,Poor,538,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2543,2113,Good,711,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2544,2114,Fair,592,High,<40K,Self-employed,2023-01-01,2099-12-31,True
2545,2115,Very Good,744,Low,90K-125K,Student,2023-01-01,2099-12-31,True
2546,2116,Poor,545,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2547,2117,Very Good,773,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2548,2118,Poor,532,High,<40K,Employed,2023-01-01,2099-12-31,True
2549,2119,No Score,,Medium,200K+,Employed,2023-01-01,2024-12-31,False
2550,2119,Excellent,796,New/Thin File,200K+,Employed,2025-01-01,2099-12-31,True
2551,2120,Good,674,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2552,2121,No Score,,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2553,2122,Very Good,727,Medium,<40K,Employed,2023-01-01,2099-12-31,True
2554,2123,Poor,,Medium,90K-125K,Employed,2023-01-01,2024-12-31,False
2555,2123,Fair,605,High,90K-125K,Employed,2025-01-01,2099-12-31,True
2556,2124,Good,669,Low,200K+,Retired,2023-01-01,2099-12-31,True
2557,2125,Fair,,Medium,<40K,Employed,2023-01-01,2024-12-31,False
2558,2125,Very Good,738,Medium,<40K,Employed,2025-01-01,2099-12-31,True
2559,2126,Fair,592,High,90K-125K,Employed,2023-01-01,2099-12-31,True
2560,2127,Fair,584,High,125K-200K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2561,2128,Good,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
2562,2128,Fair,647,High,40K-60K,Employed,2025-01-01,2099-12-31,True
2563,2129,Very Good,764,Medium,90K-125K,Student,2023-01-01,2099-12-31,True
2564,2130,Excellent,,Low,60K-90K,Employed,2023-01-01,2024-12-31,False
2565,2130,Poor,520,High,60K-90K,Employed,2025-01-01,2099-12-31,True
2566,2131,Very Good,745,Low,40K-60K,Student,2023-01-01,2099-12-31,True
2567,2132,Very Good,741,New/Thin File,60K-90K,Retired,2023-01-01,2099-12-31,True
2568,2133,Fair,636,Low,<40K,Employed,2023-01-01,2099-12-31,True
2569,2134,Good,666,High,<40K,Employed,2023-01-01,2099-12-31,True
2570,2135,Excellent,783,New/Thin File,90K-125K,Employed,2023-01-01,2099-12-31,True
2571,2136,Very Good,759,Low,90K-125K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2572,2137,Good,675,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2573,2138,Good,686,New/Thin File,<40K,Employed,2023-01-01,2099-12-31,True
2574,2139,Poor,,Medium,60K-90K,Employed,2023-01-01,2024-12-31,False
2575,2139,Good,669,Medium,60K-90K,Employed,2025-01-01,2099-12-31,True
2576,2140,Good,720,Low,200K+,Employed,2023-01-01,2099-12-31,True
2577,2141,Excellent,808,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2578,2142,Fair,584,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2579,2143,Good,712,Medium,60K-90K,Self-employed,2023-01-01,2099-12-31,True
2580,2144,Good,701,Low,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2581,2145,Poor,520,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2582,2146,Excellent,788,Medium,90K-125K,Retired,2023-01-01,2099-12-31,True
2583,2147,Very Good,729,High,<40K,Employed,2023-01-01,2099-12-31,True
2584,2148,Excellent,812,Medium,125K-200K,Student,2023-01-01,2099-12-31,True
2585,2149,Fair,652,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2586,2150,Good,,Medium,125K-200K,Employed,2023-01-01,2024-12-31,False
2587,2150,No Score,,High,125K-200K,Employed,2025-01-01,2099-12-31,True
2588,2151,Very Good,728,Low,<40K,Unemployed,2023-01-01,2099-12-31,True
2589,2152,Excellent,,High,<40K,Employed,2023-01-01,2024-12-31,False
2590,2152,Excellent,831,Low,<40K,Employed,2025-01-01,2099-12-31,True
2591,2153,Poor,536,High,90K-125K,Employed,2023-01-01,2099-12-31,True
2592,2154,Very Good,735,Medium,125K-200K,Self-employed,2023-01-01,2099-12-31,True
2593,2155,Very Good,757,Low,<40K,Unemployed,2023-01-01,2099-12-31,True
2594,2156,Good,703,Medium,40K-60K,Student,2023-01-01,2099-12-31,True
2595,2157,Poor,569,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2596,2158,Poor,,High,<40K,Employed,2023-01-01,2024-12-31,False
2597,2158,Fair,656,Low,<40K,Employed,2025-01-01,2099-12-31,True
2598,2159,Very Good,747,Medium,40K-60K,Retired,2023-01-01,2099-12-31,True
2599,2160,Very Good,737,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2600,2161,Very Good,770,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2601,2162,Fair,624,High,60K-90K,Self-employed,2023-01-01,2099-12-31,True
2602,2163,No Score,,High,60K-90K,Retired,2023-01-01,2099-12-31,True
2603,2164,Excellent,829,Low,200K+,Newcomer/Temporary,2023-01-01,2099-12-31,True
2604,2165,Good,703,Low,200K+,Self-employed,2023-01-01,2099-12-31,True
2605,2166,Excellent,828,Low,40K-60K,Self-employed,2023-01-01,2099-12-31,True
2606,2167,Good,724,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2607,2168,No Score,,Low,200K+,Self-employed,2023-01-01,2099-12-31,True
2608,2169,Fair,598,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2609,2170,Poor,,Low,125K-200K,Employed,2023-01-01,2024-12-31,False
2610,2170,Very Good,755,Low,125K-200K,Employed,2025-01-01,2099-12-31,True
2611,2171,Fair,636,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2612,2172,Very Good,777,Low,60K-90K,Student,2023-01-01,2099-12-31,True
2613,2173,Excellent,833,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2614,2174,Very Good,761,Medium,90K-125K,Unemployed,2023-01-01,2099-12-31,True
2615,2175,Excellent,785,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2616,2176,Very Good,764,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
2617,2177,Poor,,Low,40K-60K,Employed,2023-01-01,2024-12-31,False
2618,2177,Good,697,Low,40K-60K,Employed,2025-01-01,2099-12-31,True
2619,2178,Good,690,Medium,90K-125K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2620,2179,Good,683,Low,<40K,Employed,2023-01-01,2099-12-31,True
2621,2180,Good,710,Low,60K-90K,Unemployed,2023-01-01,2099-12-31,True
2622,2181,Good,710,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2623,2182,Very Good,728,Low,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2624,2183,Excellent,826,New/Thin File,90K-125K,Self-employed,2023-01-01,2099-12-31,True
2625,2184,Very Good,737,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2626,2185,Poor,532,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2627,2186,Poor,,Medium,<40K,Employed,2023-01-01,2024-12-31,False
2628,2186,Good,704,Low,<40K,Employed,2025-01-01,2099-12-31,True
2629,2187,Excellent,788,Medium,200K+,Employed,2023-01-01,2099-12-31,True
2630,2188,Poor,576,High,90K-125K,Employed,2023-01-01,2099-12-31,True
2631,2189,Very Good,748,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2632,2190,Excellent,,Medium,60K-90K,Employed,2023-01-01,2024-12-31,False
2633,2190,Fair,639,High,60K-90K,Employed,2025-01-01,2099-12-31,True
2634,2191,Excellent,826,Medium,40K-60K,Self-employed,2023-01-01,2099-12-31,True
2635,2192,Very Good,754,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
2636,2193,Fair,659,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2637,2194,Excellent,820,Medium,<40K,Employed,2023-01-01,2099-12-31,True
2638,2195,Poor,,Medium,60K-90K,Employed,2023-01-01,2024-12-31,False
2639,2195,Excellent,821,Medium,60K-90K,Employed,2025-01-01,2099-12-31,True
2640,2196,Good,717,Medium,60K-90K,Retired,2023-01-01,2099-12-31,True
2641,2197,Poor,566,High,<40K,Retired,2023-01-01,2099-12-31,True
2642,2198,Fair,656,Medium,60K-90K,Self-employed,2023-01-01,2099-12-31,True
2643,2199,Fair,,Medium,60K-90K,Employed,2023-01-01,2024-12-31,False
2644,2199,Poor,547,High,60K-90K,Employed,2025-01-01,2099-12-31,True
2645,2200,Excellent,802,Low,<40K,Employed,2023-01-01,2099-12-31,True
2646,2201,Very Good,,High,60K-90K,Newcomer/Temporary,2023-01-01,2024-12-31,False
2647,2201,No Score,,Low,60K-90K,Newcomer/Temporary,2025-01-01,2099-12-31,True
2648,2202,Very Good,750,High,40K-60K,Student,2023-01-01,2099-12-31,True
2649,2203,Poor,560,High,40K-60K,Employed,2023-01-01,2099-12-31,True
2650,2204,Poor,531,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2651,2205,Good,670,New/Thin File,40K-60K,Employed,2023-01-01,2099-12-31,True
2652,2206,Good,664,Low,90K-125K,Student,2023-01-01,2099-12-31,True
2653,2207,Good,663,New/Thin File,<40K,Student,2023-01-01,2099-12-31,True
2654,2208,Very Good,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
2655,2208,Good,705,Low,40K-60K,Employed,2025-01-01,2099-12-31,True
2656,2209,Excellent,,High,60K-90K,Employed,2023-01-01,2024-12-31,False
2657,2209,Very Good,744,Medium,60K-90K,Employed,2025-01-01,2099-12-31,True
2658,2210,Good,705,Low,125K-200K,Retired,2023-01-01,2099-12-31,True
2659,2211,Good,666,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2660,2212,Fair,642,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2661,2213,Very Good,779,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2662,2214,Very Good,744,High,125K-200K,Employed,2023-01-01,2099-12-31,True
2663,2215,Good,685,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
2664,2216,Poor,540,Low,200K+,Retired,2023-01-01,2099-12-31,True
2665,2217,Excellent,781,Low,<40K,Employed,2023-01-01,2099-12-31,True
2666,2218,Good,663,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2667,2219,Good,711,Low,40K-60K,Student,2023-01-01,2099-12-31,True
2668,2220,Good,682,Low,60K-90K,Unemployed,2023-01-01,2099-12-31,True
2669,2221,Excellent,783,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2670,2222,Excellent,810,New/Thin File,60K-90K,Student,2023-01-01,2099-12-31,True
2671,2223,Very Good,756,Medium,40K-60K,Student,2023-01-01,2099-12-31,True
2672,2224,Very Good,730,Medium,40K-60K,Retired,2023-01-01,2099-12-31,True
2673,2225,Poor,533,High,<40K,Employed,2023-01-01,2099-12-31,True
2674,2226,Very Good,743,Low,90K-125K,Retired,2023-01-01,2099-12-31,True
2675,2227,Good,699,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2676,2228,Fair,593,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2677,2229,Excellent,847,Low,<40K,Self-employed,2023-01-01,2099-12-31,True
2678,2230,No Score,,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2679,2231,Good,708,Medium,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2680,2232,Good,666,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2681,2233,Good,668,Low,200K+,Newcomer/Temporary,2023-01-01,2099-12-31,True
2682,2234,Very Good,759,New/Thin File,60K-90K,Employed,2023-01-01,2099-12-31,True
2683,2235,Very Good,735,High,125K-200K,Retired,2023-01-01,2099-12-31,True
2684,2236,Very Good,726,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2685,2237,Good,,New/Thin File,40K-60K,Employed,2023-01-01,2024-12-31,False
2686,2237,Good,660,Medium,40K-60K,Employed,2025-01-01,2099-12-31,True
2687,2238,No Score,,Low,125K-200K,Student,2023-01-01,2024-12-31,False
2688,2238,No Score,,Medium,125K-200K,Student,2025-01-01,2099-12-31,True
2689,2239,Good,,High,40K-60K,Self-employed,2023-01-01,2024-12-31,False
2690,2239,No Score,,Low,40K-60K,Self-employed,2025-01-01,2099-12-31,True
2691,2240,Poor,,New/Thin File,<40K,Employed,2023-01-01,2024-12-31,False
2692,2240,Very Good,747,Medium,<40K,Employed,2025-01-01,2099-12-31,True
2693,2241,Very Good,763,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2694,2242,Good,,New/Thin File,90K-125K,Employed,2023-01-01,2024-12-31,False
2695,2242,Excellent,803,New/Thin File,90K-125K,Employed,2025-01-01,2099-12-31,True
2696,2243,Poor,555,Low,60K-90K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2697,2244,Very Good,733,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
2698,2245,Good,694,Low,90K-125K,Student,2023-01-01,2099-12-31,True
2699,2246,Very Good,,Medium,90K-125K,Employed,2023-01-01,2024-12-31,False
2700,2246,No Score,,Low,90K-125K,Employed,2025-01-01,2099-12-31,True
2701,2247,Excellent,820,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
2702,2248,Poor,542,High,90K-125K,Employed,2023-01-01,2099-12-31,True
2703,2249,Good,707,Low,90K-125K,Retired,2023-01-01,2099-12-31,True
2704,2250,Good,,Low,40K-60K,Newcomer/Temporary,2023-01-01,2024-12-31,False
2705,2250,No Score,,High,40K-60K,Newcomer/Temporary,2025-01-01,2099-12-31,True
2706,2251,Very Good,,Low,60K-90K,Student,2023-01-01,2024-12-31,False
2707,2251,Good,678,Medium,60K-90K,Student,2025-01-01,2099-12-31,True
2708,2252,Fair,623,High,125K-200K,Newcomer/Temporary,2023-01-01,2099-12-31,True
2709,2253,Fair,658,Medium,<40K,Retired,2023-01-01,2099-12-31,True
2710,2254,Good,669,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
2711,2255,Very Good,754,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
2712,2256,Poor,578,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2713,2257,Good,664,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2714,2258,Fair,645,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2715,2259,Poor,548,Low,<40K,Student,2023-01-01,2099-12-31,True
2716,2260,Very Good,741,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
2717,2261,Fair,603,Medium,125K-200K,Retired,2023-01-01,2099-12-31,True
2718,2262,Poor,546,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2719,2263,Poor,560,High,200K+,Self-employed,2023-01-01,2099-12-31,True
2720,2264,Good,701,Low,125K-200K,Unemployed,2023-01-01,2099-12-31,True
2721,2265,Excellent,780,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
2722,2266,Very Good,769,Low,<40K,Retired,2023-01-01,2099-12-31,True
2723,2267,Fair,580,High,90K-125K,Employed,2023-01-01,2099-12-31,True
2724,2268,No Score,,Low,200K+,Unemployed,2023-01-01,2099-12-31,True
2725,2269,Good,678,Medium,125K-200K,Employed,2023-01-01,2099-12-31,True
2726,2270,Fair,647,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2727,2271,Poor,577,High,60K-90K,Unemployed,2023-01-01,2099-12-31,True
2728,2272,Very Good,726,Low,<40K,Student,2023-01-01,2099-12-31,True
2729,2273,Poor,,New/Thin File,40K-60K,Student,2023-01-01,2024-12-31,False
2730,2273,Excellent,828,Medium,40K-60K,Student,2025-01-01,2099-12-31,True
2731,2274,Poor,564,Medium,90K-125K,Student,2023-01-01,2099-12-31,True
2732,2275,Fair,586,Low,200K+,Self-employed,2023-01-01,2099-12-31,True
2733,2276,Good,666,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
2734,2277,Very Good,742,Medium,40K-60K,Student,2023-01-01,2099-12-31,True
2735,2278,Poor,550,High,200K+,Employed,2023-01-01,2099-12-31,True
2736,2279,Very Good,759,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
2737,2280,Good,698,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
2738,2281,Very Good,727,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
2739,2282,Very Good,759,Low,<40K,Retired,2023-01-01,2099-12-31,True
2740,2283,Fair,636,High,60K-90K,Student,2023-01-01,2099-12-31,True
2741,2284,Very Good,,Medium,60K-90K,Student,2023-01-01,2024-12-31,False
2742,2284,Good,714,Low,60K-90K,Student,2025-01-01,2099-12-31,True
2743,2285,Good,,New/Thin File,125K-200K,Employed,2023-01-01,2024-12-31,False
2744,2285,Good,720,Low,125K-200K,Employed,2025-01-01,2099-12-31,True
2745,2286,Poor,553,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2746,2287,Good,663,Low,<40K,Employed,2023-01-01,2099-12-31,True
2747,2288,Very Good,,Low,<40K,Employed,2023-01-01,2024-12-31,False
2748,2288,Good,715,Low,<40K,Employed,2025-01-01,2099-12-31,True
2749,2289,Fair,,New/Thin File,<40K,Self-employed,2023-01-01,2024-12-31,False
2750,2289,Very Good,761,Low,<40K,Self-employed,2025-01-01,2099-12-31,True
2751,2290,Good,679,Medium,40K-60K,Employed,2023-01-01,2099-12-31,True
2752,2291,Fair,,Medium,<40K,Employed,2023-01-01,2024-12-31,False
2753,2291,Good,663,Low,<40K,Employed,2025-01-01,2099-12-31,True
2754,2292,No Score,,New/Thin File,40K-60K,Unemployed,2023-01-01,2099-12-31,True
2755,2293,No Score,,Medium,<40K,Employed,2023-01-01,2099-12-31,True
2756,2294,Fair,633,Low,200K+,Employed,2023-01-01,2099-12-31,True
2757,2295,Good,663,High,200K+,Employed,2023-01-01,2099-12-31,True
2758,2296,Good,705,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2759,2297,Good,721,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
2760,2298,Excellent,826,Medium,125K-200K,Unemployed,2023-01-01,2099-12-31,True
2761,2299,No Score,,Medium,40K-60K,Employed,2023-01-01,2024-12-31,False
2762,2299,Very Good,741,Medium,40K-60K,Employed,2025-01-01,2099-12-31,True
2763,2300,Good,,New/Thin File,<40K,Self-employed,2023-01-01,2024-12-31,False
2764,2300,Excellent,815,Medium,<40K,Self-employed,2025-01-01,2099-12-31,True
2765,2301,Excellent,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
2766,2301,Fair,584,High,40K-60K,Employed,2025-01-01,2099-12-31,True
2767,2302,Good,665,High,<40K,Self-employed,2023-01-01,2099-12-31,True
2768,2303,Poor,524,High,<40K,Employed,2023-01-01,2099-12-31,True
2769,2304,Good,,New/Thin File,60K-90K,Employed,2023-01-01,2024-12-31,False
2770,2304,Good,677,Medium,60K-90K,Employed,2025-01-01,2099-12-31,True
2771,2305,Very Good,760,High,<40K,Student,2023-01-01,2099-12-31,True
2772,2306,Excellent,814,New/Thin File,<40K,Retired,2023-01-01,2099-12-31,True
2773,2307,Good,661,High,60K-90K,Employed,2023-01-01,2099-12-31,True
2774,2308,Very Good,754,Low,125K-200K,Student,2023-01-01,2099-12-31,True
2775,2309,No Score,,Low,<40K,Retired,2023-01-01,2099-12-31,True
2776,2310,Very Good,761,Medium,60K-90K,Self-employed,2023-01-01,2099-12-31,True
